"site","date","Freq","type","visits"
"en",2023-01-04,2,"generic",2
"fr",2023-01-04,5,"generic",5
"tai",2023-01-04,4,"specific",4
"en",2023-01-05,1,"generic",3
"fr",2023-01-05,1,"generic",6
"tai",2023-01-05,2,"specific",6
"amalda",2023-01-06,10,"specific",10
"en",2023-01-06,7,"generic",10
"fr",2023-01-06,8,"generic",14
"roche-a-pierrot",2023-01-06,3,"specific",3
"tai",2023-01-06,2,"specific",8
"amalda",2023-01-07,2,"specific",12
"en",2023-01-07,3,"generic",13
"fr",2023-01-07,3,"generic",17
"roche-a-pierrot",2023-01-07,2,"specific",5
"tai",2023-01-07,1,"specific",9
"en",2023-01-08,3,"generic",16
"tai",2023-01-08,1,"specific",10
"amalda",2023-01-09,2,"specific",14
"en",2023-01-09,7,"generic",23
"fr",2023-01-09,4,"generic",21
"roche-a-pierrot",2023-01-09,1,"specific",6
"tai",2023-01-09,6,"specific",16
"amalda",2023-01-10,4,"specific",18
"combe-cullier",2023-01-10,1,"specific",1
"en",2023-01-10,5,"generic",28
"fr",2023-01-10,6,"generic",27
"grotte16",2023-01-10,2,"specific",2
"portal",2023-01-10,8,"portal",8
"les-jambes",2023-01-10,2,"specific",2
"poeymau",2023-01-10,2,"specific",2
"roche-a-pierrot",2023-01-10,2,"specific",8
"roquemissou",2023-01-10,3,"specific",3
"tai",2023-01-10,4,"specific",20
"amalda",2023-01-11,2,"specific",20
"en",2023-01-11,10,"generic",38
"fr",2023-01-11,6,"generic",33
"portal",2023-01-11,6,"portal",14
"les-jambes",2023-01-11,2,"specific",4
"poeymau",2023-01-11,2,"specific",4
"roche-a-pierrot",2023-01-11,2,"specific",10
"roquemissou",2023-01-11,2,"specific",5
"tai",2023-01-11,10,"specific",30
"amalda",2023-01-12,1,"specific",21
"en",2023-01-12,4,"generic",42
"fr",2023-01-12,3,"generic",36
"portal",2023-01-12,7,"portal",21
"moulin-neuf",2023-01-12,1,"specific",1
"roche-a-pierrot",2023-01-12,3,"specific",13
"tai",2023-01-12,2,"specific",32
"amalda",2023-01-13,2,"specific",23
"combe-capelle-a1a2",2023-01-13,2,"specific",2
"combe-cullier",2023-01-13,3,"specific",4
"en",2023-01-13,5,"generic",47
"fr",2023-01-13,2,"generic",38
"grotte16",2023-01-13,2,"specific",4
"portal",2023-01-13,4,"portal",25
"moulin-neuf",2023-01-13,1,"specific",2
"poeymau",2023-01-13,1,"specific",5
"roc-de-marcamps1",2023-01-13,5,"specific",5
"roc-de-marcamps2",2023-01-13,1,"specific",1
"roche-a-pierrot",2023-01-13,1,"specific",14
"roquemissou",2023-01-13,1,"specific",6
"tai",2023-01-13,2,"specific",34
"bilzingsleben",2023-01-14,5,"specific",5
"combe-cullier",2023-01-14,1,"specific",5
"en",2023-01-14,1,"generic",48
"fr",2023-01-14,1,"generic",39
"grotte16",2023-01-14,1,"specific",5
"portal",2023-01-14,5,"portal",30
"roc-de-marcamps2",2023-01-14,1,"specific",2
"roche-a-pierrot",2023-01-14,1,"specific",15
"tai",2023-01-14,1,"specific",35
"bilzingsleben",2023-01-15,2,"specific",7
"combe-capelle-a1a2",2023-01-15,1,"specific",3
"combe-cullier",2023-01-15,1,"specific",6
