"id","lat","lon","altitude","location.type","grid.orientation","site.name","site.wikidata","n.objects","n.refits","n.objects.in.refitting.set","n.sites","site.continent","site.country","site.location","site.location.pid","period1","period1.uri","period2","period2.uri","period3","period3.uri","archeoviz.url","hal","hdl","excavator1","excavator1.orcid","excavator1.viaf","excavator2","excavator2.orcid","excavator2.viaf","excavator3","excavator3.orcid","excavator3.viaf","excavation.date","data.creator1","data.creator1.orcid","data.creator1.viaf","data.creator2","data.creator2.orcid","data.creator2.viaf","data.creator3","data.creator3.orcid","data.creator3.viaf","data.editor1","data.editor1.orcid","data.editor1.viaf","workflow.identifier.value","workflow.identifier.type","data.publication","data.identifier.value","data.identifier.type","data.license","internal.linking","archeoviz.pub.date","object_type1","object_type2","object_type3","object_type4","object_type5","object_type6","object_type7","object_type8","period.keywords"
54,35.246,24.955,0,"–",0,"Synecdemus Novus","Q34374",0,0,0,1233,"Europe","Greece","Crete","https://www.geonames.org/258764/crete.html","Later Roman Empire","https://ark.frantiq.fr/ark:/26678/pcrt0auHUwTKix","Byzantine Empire","https://ark.frantiq.fr/ark:/26678/pcrtSv5AfuqLth","","","https://analytics.huma-num.fr/archeoviz/synecdemus-novus","hal-04550723","","","","","","","","","","","","Vera Klontza-Jaklova","0000-0002-0720-7536","84638870","Adam Geisler","","","","","","Sébastien Plutniak","0000-0002-6674-3806","35153833224064331876","10.5281/zenodo.10989864","doi","2024","10.48493/b8mn-4n64","doi","CC-BY-SA-4.0","FALSE","20240418","archaeological site","","","","","","","","later roman empire antiquity historical holocene quaternary  byzantine empire medieval"
53,42.65899,-90.55458,196,"exact",0,"Kieler 1 block 3","",5415,0,0,0,"America","United States","Grant County","https://www.geonames.org/5254832/grant-county.html","Late Archaic","","Middle Woodland","","","","https://analytics.huma-num.fr/archeoviz/kieler1b3","hal-04507082","10670/1.jvfs1j","Rhiannon Jones","","","Jennifer R. Harvey","","","","","","2003, 2004","Rhiannon Jones","","","","","","","","","Sébastien Plutniak","0000-0002-6674-3806","35153833224064331876","10.5281/zenodo.8034065","doi","2010","10.6067/xcv85b00ck","doi","–","TRUE","20240301","pottery","lithic industry","animal bone","","","","","","late archaic archaic holocene quaternary  middle woodland woodland"
52,48.5396,7.4445,204,"exact",17,"Mutzig","Q14627946",314,0,0,0,"Europe","France","Mutzig","https://www.geonames.org/6441239/mutzig.html","Middle Paleolithic","https://ark.frantiq.fr/ark:/26678/pcrtT7uGEJ3s0j","","","","","https://analytics.huma-num.fr/archeoviz/mutzig","hal-04473835","10670/1.k7nqd3","Thomas Hauck","","305162375","","","","","","","2012","Thomas Hauck","","305162375","","","","","","","Sébastien Plutniak","0000-0002-6674-3806","35153833224064331876","–","–","2012","https://www.calameo.com/read/003725038b8bd061f732d","url","–","FALSE","20240222","lithic industry","animal bone","","","","","","","middle paleolithic paleolithic pleistocene quaternary middle palaeolithic palaeolithic "
51,46.766,2.417,0,"–",0,"INRAP","Q377191",0,0,0,621,"Europe","France","France","https://www.geonames.org/3017382/republic-of-france.html","Holocene","https://ark.frantiq.fr/ark:/26678/pcrtspSrlaX1dI","","","","","https://analytics.huma-num.fr/archeoviz/inrap","hal-04462508","10670/1.0k8mxc","INRAP","","131621817","","","","","","","2002-2013","INRAP","","131621817","","","","","","","Sébastien Plutniak","0000-0002-6674-3806","35153833224064331876","10.5281/zenodo.10668093","doi","2014","https://www.data.gouv.fr/fr/datasets/r/b098d16a-ae19-48e4-8c58-e659e0603acd","url","etalab-1.0","FALSE","20240215","archaeological site","","","","","","","","holocene quaternary "
50,46.937,-100.9726,516,"exact",0,"MO1375","",1783,0,0,0,"America","United States","Morton County","https://www.geonames.org/5690583/morton-county.html","Middle Archaic","","Middle Woodland","","","","https://analytics.huma-num.fr/archeoviz/mo1375","hal-04450665","10670/1.ctvzot","Jennifer Haas","0000-0002-7191-7022","","John Bennett","","","Michael M. Gregory","","","2005","Jennifer Haas","0000-0002-7191-7022","","","","","","","","Sébastien Plutniak","0000-0002-6674-3806","35153833224064331876","10.5281/zenodo.10646872","doi","2011","10.6067/xcv8xk8cnv","doi","–","TRUE","20240210","lithic industry","animal bone","shell","","","","","","middle archaic archaic holocene quaternary  middle woodland woodland"
49,46.9385,-100.9673,516,"exact",0,"MO1374","",2244,0,0,0,"America","United States","Morton County","https://www.geonames.org/5690583/morton-county.html","Early Woodland","","","","","","https://analytics.huma-num.fr/archeoviz/mo1374","hal-04450656","10670/1.mjbq7e","Jennifer Haas","0000-0002-7191-7022","","John Bennett","","","Michael M. Gregory","","","2005","Jennifer Haas","0000-0002-7191-7022","","","","","","","","Sébastien Plutniak","0000-0002-6674-3806","35153833224064331876","10.5281/zenodo.10646852","doi","2011","10.6067/xcv8xk8cnv","doi","–","TRUE","20240210","lithic industry","animal bone","","","","","","","early woodland woodland holocene quaternary "
48,46.9396,-100.968,516,"exact",0,"MO0306","",4349,0,0,0,"America","United States","Morton County","https://www.geonames.org/5690583/morton-county.html","Woodland","","Archaic","","","","https://analytics.huma-num.fr/archeoviz/mo0306","hal-04450659","10670/1.2jc1k1","Jennifer Haas","0000-0002-7191-7022","","John Bennett","","","Michael M. Gregory","","","2005","Jennifer Haas","0000-0002-7191-7022","","","","","","","","Sébastien Plutniak","0000-0002-6674-3806","35153833224064331876","10.5281/zenodo.10646745","doi","2011","10.6067/xcv8xk8cnv","doi","–","TRUE","20240210","lithic industry","animal bone","","","","","","","woodland holocene quaternary  archaic"
47,-33.183,18.156,50,"exact",NA,"Geelbek Dunes","",34143,1493,1911,0,"Africa","South Africa","Geelbek","https://www.geonames.org/3367777/geelbek.html","Middle Stone Age","https://ark.frantiq.fr/ark:/26678/crtFouiYvPcGm","Later Stone Age","https://ark.frantiq.fr/ark:/26678/pcrtchY60eivqV","","","https://analytics.huma-num.fr/archeoviz/geelbek","hal-04505500","10670/1.ekgz0j","Nicholas Conard","0000-0002-4633-0385","22314902","Andrew Kandel","0000-0002-9889-9418","16152561594515442609","","","","1998–2006","Nicholas Conard","0000-0002-4633-0385","22314902","Andrew Kandel","0000-0002-9889-9418","16152561594515442609","","","","Élisa Caron-Laviolette","0000-0002-3034-1901","","10.5281/zenodo.10977997","doi","2023","10.5281/zenodo.10017377","doi","CC-BY-4.0","FALSE","20240209","lithic industry","animal bone","human bone","ostrich eggshell","shell","pottery","metal objects","","middle stone age paleolithic pleistocene quaternary MSA palaeolithic  later stone age LSA"
46,46.938,0.7362,55,"exact",0,"Le Foulon","",7321,0,0,0,"Europe","France","Abilly","https://www.geonames.org/6616632/abilly.html","Late Neolithic","https://ark.frantiq.fr/ark:/26678/pcrtkWTHVxnZWN","","","","","https://analytics.huma-num.fr/archeoviz/le-foulon","hal-04505499","10670/1.mkcack","Laure-Anne Millet-Richard","","7560851","","","","","","","1991–1995","Laure-Anne Millet-Richard","","7560851","Clément Recq","","","","","","–","","","–","–","–","–","–","–","FALSE","20240130","lithic industry","pottery","animal bone","charcoal","antler","lithic core","metal objects","millstone","late neolithic neolithic holocene quaternary "
45,48.9004,16.1387,265,"exact",-15,"Těšetice-Kyjovice T09-T10","Q12060215",5137,0,0,0,"Europe","Czech Republic","Těšetice","https://www.geonames.org/11920284/tesetice.html","Neolithic","https://ark.frantiq.fr/ark:/26678/pcrtH8P95EucZz","Iron Age","https://ark.frantiq.fr/ark:/26678/pcrtW9SpIgIk7Q","","","https://analytics.huma-num.fr/archeoviz/teseticeT09T10","hal-04397016","10670/1.l9rkx8","Peter Tóth","0000-0002-2266-3492","","Solène Denis","0000-0001-7986-217X","315252578","","","","2012–2013, 2018","Peter Tóth","0000-0002-2266-3492","","Solène Denis","0000-0001-7986-217X","315252578","","","","–","","","–","–","–","–","–","–","FALSE","20240110","lithic industry","pottery","animal bone","shell","","","","","neolithic holocene quaternary  iron age historical"
