"period","ark"
"20th century","https://ark.frantiq.fr/ark:/26678/pcrt59R77d1H15"
"Archaic",
"Aurignacian","https://ark.frantiq.fr/ark:/26678/pcrtcwGrm8MEKV"
"Bronze Age","https://ark.frantiq.fr/ark:/26678/pcrtGTWPtWn8qu"
"Byzantine Empire","https://ark.frantiq.fr/ark:/26678/pcrtSv5AfuqLth"
"Châtelperronian","https://ark.frantiq.fr/ark:/26678/pcrt64y3sZlsg2"
"Early Neolithic","https://ark.frantiq.fr/ark:/26678/pcrtFRtEh1AndU"
"Early Stone Age",
"Early Woodland",
"Folsom","https://ark.frantiq.fr/ark:/26678/pcrtj5jUTyES9G"
"Gravettian","https://ark.frantiq.fr/ark:/26678/pcrt9U8BH9pVRu"
"Holocene","https://ark.frantiq.fr/ark:/26678/pcrtspSrlaX1dI"
"Iron Age","https://ark.frantiq.fr/ark:/26678/pcrtW9SpIgIk7Q"
"Late Archaic",
"Late Neolithic","https://ark.frantiq.fr/ark:/26678/pcrtkWTHVxnZWN"
"Later Roman Empire","https://ark.frantiq.fr/ark:/26678/pcrt0auHUwTKix"
"Later Stone Age","https://ark.frantiq.fr/ark:/26678/pcrtchY60eivqV"
"Lower Paleolithic","https://ark.frantiq.fr/ark:/26678/pcrtVgXMuQrnxx"
"Magdalenian","https://ark.frantiq.fr/ark:/26678/pcrt3kzJ9EkRhW"
"Maglemosian",
"Merovingian","https://ark.frantiq.fr/ark:/26678/pcrt52vb3I1FaL"
"Mesolithic","https://ark.frantiq.fr/ark:/26678/pcrtNs85SfBRuH"
"Middle Archaic",
"Middle Paleolithic","https://ark.frantiq.fr/ark:/26678/pcrtT7uGEJ3s0j"
"Middle Stone Age","https://ark.frantiq.fr/ark:/26678/crtFouiYvPcGm"
"Middle Woodland",
"Mousterian","https://ark.frantiq.fr/ark:/26678/pcrtT7uGEJ3s0j"
"Neolithic","https://ark.frantiq.fr/ark:/26678/pcrtH8P95EucZz"
"Paleolithic","https://ark.frantiq.fr/ark:/26678/pcrtFS9v4PxyYL"
"Pre-Inuit","https://ark.frantiq.fr/ark:/26678/pcrtzb1smd79vd"
"Upper Paleolithic","https://ark.frantiq.fr/ark:/26678/pcrt9U8BH9pVRu"
"Woodland",
"Antiquity","https://ark.frantiq.fr/ark:/26678/pcrtxT02uJOogm"
"Medieval","https://ark.frantiq.fr/ark:/26678/pcrtAQyKm9qosx"
"Modern","https://ark.frantiq.fr/ark:/26678/pcrtPSEEZSBEJp"
